   191         O6      OC311    -0.6500    15.9994
   192        HO6       HCP1     0.4200     1.0080
   193          N        NH1    -0.4700    14.0070
   194         HN          H     0.3100     1.0080
   195         CA        CT1     0.0700    12.0110
   196         HA        HB1     0.0900     1.0080
   197         CB        CT3    -0.2700    12.0110
   198        HB1        HA3     0.0900     1.0080
   199        HB2        HA3     0.0900     1.0080
   200        HB3        HA3     0.0900     1.0080
   201          C          C     0.5100    12.0110
   202          O          O    -0.5100    15.9994
   203          N        NH1    -0.4700    14.0070
   204         HN          H     0.3100     1.0080
   205         CA        CT1     0.0700    12.0110
   206         HA        HB1     0.0900     1.0080
   207         CD         CC     0.5500    12.0110
   208        OE1          O    -0.5500    15.9994
   209        NE2        NH2    -0.6200    14.0070
   210       HE21          H     0.3200     1.0080
   211       HE22          H     0.3000     1.0080
   212         CB        CT2    -0.1800    12.0110
   213        HB1        HA2     0.0900     1.0080
   214        HB2        HA2     0.0900     1.0080
   215         CG        CT2    -0.1800    12.0110
   216        HG1        HA2     0.0900     1.0080
   217        HG2        HA2     0.0900     1.0080
   218          C          C     0.5100    12.0110
   219          O          O    -0.5100    15.9994
   220          N        NH1    -0.4700    14.0070
   221         HN          H     0.3100     1.0080
   222         CA        CT1     0.0700    12.0110
   223         HA        HB1     0.0900     1.0080
   224         CB        CT2    -0.1800    12.0110
   225        HB1        HA2     0.0900     1.0080
   226        HB2        HA2     0.0900     1.0080
   227         CG        CT2    -0.1800    12.0110
   228        HG1        HA2     0.0900     1.0080
   229        HG2        HA2     0.0900     1.0080
   230         CD        CT2    -0.1800    12.0110
   231        HD1        HA2     0.0900     1.0080
   232        HD2        HA2     0.0900     1.0080
   233         CE        CT2     0.2100    12.0110
   234        HE1        HA2     0.0500     1.0080
   235        HE2        HA2     0.0500     1.0080
   236         NZ        NH3    -0.3000    14.0070
   237        HZ1         HC     0.3300     1.0080
   238        HZ2         HC     0.3300     1.0080
   239        HZ3         HC     0.3300     1.0080
   240          C          C     0.5100    12.0110
   241          O          O    -0.5100    15.9994
   242          N        NH1    -0.4700    14.0070
   243         HN          H     0.3100     1.0080
   244         CA       CTD1     0.0700    12.0110
   245         HA        HB1     0.0900     1.0080
   246         CB        CT3    -0.2700    12.0110
   247        HB1        HA3     0.0900     1.0080
   248        HB2        HA3     0.0900     1.0080
   249        HB3        HA3     0.0900     1.0080
   250          C          C     0.5100    12.0110
   251          O          O    -0.5100    15.9994
   252          N        NH1    -0.4700    14.0070
   253         HN          H     0.3100     1.0080
   254         CA       CTD1     0.0700    12.0110
   255         HA        HB1     0.0900     1.0080
   256         CB        CT3    -0.2700    12.0110
   257        HB1        HA3     0.0900     1.0080
   258        HB2        HA3     0.0900     1.0080
   259        HB3        HA3     0.0900     1.0080
   260          C         CC     0.3400    12.0110
   261        OC1         OC    -0.6700    15.9994
   262        OC2         OC    -0.6700    15.9994
   263         C1     CC3162     0.2900    12.0110
   264         H1       HCA1     0.0900     1.0080
   265         C5     CC3163     0.1100    12.0110
   266         H5       HCA1     0.0900     1.0080
   267         O5     OC3C61    -0.4000    15.9994
   268         C2     CC3161     0.1340    12.0110
   269         H2       HCA1     0.0900     1.0080
   270         NC        NH1    -0.5870    14.0070
   271         HN          H     0.3630     1.0080
   272         CM         CC     0.5500    12.0110
   273         OM          O    -0.5500    15.9994
   274         CC        CT3    -0.2700    12.0110
   275        HC1        HA3     0.0900     1.0080
   276        HC2        HA3     0.0900     1.0080
   277        HC3        HA3     0.0900     1.0080
   278         C3     CC3161     0.1400    12.0110
   279         H3       HCA1     0.0900     1.0080
   280         O3      OC311    -0.6500    15.9994
   281        HO3       HCP1     0.4200     1.0080
   282         C4     CC3161     0.0900    12.0110
   283         H4       HCA1     0.0900     1.0080
   284         O4      OC301    -0.3600    15.9994
   285         C6      CC321     0.0500    12.0110
   286        H61       HCA2     0.0900     1.0080
   287        H62       HCA2     0.0900     1.0080
   288         O6      OC311    -0.6500    15.9994
   289        HO6       HCP1     0.4200     1.0080
   290         C1     CC3162     0.2900    12.0110
   291         H1       HCA1     0.0900     1.0080
   292         C5     CC3163     0.1100    12.0110
   293         H5       HCA1     0.0900     1.0080
   294         O5     OC3C61    -0.4000    15.9994
   295         C2     CC3161     0.1340    12.0110
   296         H2       HCA1     0.0900     1.0080
   297         NC        NH1    -0.5870    14.0070
   298         HN          H     0.3630     1.0080
   299         CM         CC     0.5500    12.0110
   300         OM          O    -0.5500    15.9994
   301         CC        CT3    -0.2700    12.0110
   302        HC1        HA3     0.0900     1.0080
   303        HC2        HA3     0.0900     1.0080
   304        HC3        HA3     0.0900     1.0080
   305         C3     CC3161    -0.0240    12.0110
   306         H3       HCA1     0.0900     1.0080
   307         O3      OC311    -0.4060    15.9994
   308         CA        CT1     0.2500    12.0110
   309         HA        HB1     0.0900     1.0080
   310          C          C     0.5100    12.0110
   311          O          O    -0.5100    15.9994
   312         CB        CT3    -0.2700    12.0110
   313        HB1        HA3     0.0900     1.0080
   314        HB2        HA3     0.0900     1.0080
   315        HB3        HA3     0.0900     1.0080
   316         C4     CC3161     0.0900    12.0110
   317         H4       HCA1     0.0900     1.0080
   318         O4      OC301    -0.3600    15.9994
   319         C6      CC321     0.0500    12.0110
   320        H61       HCA2     0.0900     1.0080
   321        H62       HCA2     0.0900     1.0080
   322         O6      OC311    -0.6500    15.9994
   323        HO6       HCP1     0.4200     1.0080
   324          N        NH1    -0.4700    14.0070
   325         HN          H     0.3100     1.0080
   326         CA        CT1     0.0700    12.0110
   327         HA        HB1     0.0900     1.0080
   328         CB        CT3    -0.2700    12.0110
   329        HB1        HA3     0.0900     1.0080
   330        HB2        HA3     0.0900     1.0080
   331        HB3        HA3     0.0900     1.0080
   332          C          C     0.5100    12.0110
   333          O          O    -0.5100    15.9994
   334          N        NH1    -0.4700    14.0070
